name,Z,A,M15Z0,M15Z1e-2,M15Z1e-1,M15Z1,M20Z0,M20Z1e-2,M20Z1e-1,M20Z1,M25Z0,M25Z1e-2,M25Z1e-1,M25Z1,M30Z0,M30Z1e-2,M30Z1e-1,M30Z1,M40Z0,M40Z1e-2,M40Z1e-1,M40Z1,M60Z0,M60Z1e-2,M60Z1e-1,M60Z1
si28,14,28,1.76424E-01,1.54949E-01,1.20027E-01,1.80626E-01,1.84350E-01,1.76389E-01,2.81125E-01,6.06830E-01,5.44234E-01,1.96860E-01,2.09278E-01,7.53591E-02,2.38688E-01,1.17796E-01,1.63621E-01,1.96206E-01,2.97747E-01,6.60000E-01,2.76565E-01,2.16926E-01,1.56341E+00,1.77664E+00,1.65872E+00,5.95651E-01
si29,14,29,4.74674E-03,3.35662E-03,4.04630E-03,8.23000E-03,9.46291E-03,1.55361E-02,2.04409E-03,4.01031E-03,1.46956E-02,2.45195E-03,2.42233E-03,3.01261E-03,5.01899E-03,2.60701E-03,2.16554E-03,5.02094E-03,5.43123E-03,3.48016E-03,3.34030E-03,1.04127E-02,2.10799E-02,2.33113E-02,1.52112E-02,5.43625E-02
si30,14,30,1.02217E-02,4.88623E-03,5.04613E-03,1.54691E-02,1.08227E-02,1.59583E-02,5.66568E-03,6.67109E-03,1.46326E-02,7.15675E-03,6.42297E-03,9.03652E-03,1.08984E-02,7.41519E-03,7.01003E-03,1.49698E-02,7.35736E-03,2.09552E-02,8.30376E-03,1.36203E-02,1.44348E-02,1.67825E-02,1.19478E-02,4.34901E-02
p31,15,31,2.44036E-03,8.96841E-04,8.91587E-04,3.17373E-03,1.44106E-03,2.65275E-03,8.06878E-04,4.31252E-03,3.09065E-03,1.07429E-03,9.74145E-04,1.09667E-03,1.68514E-03,8.02026E-04,9.12985E-04,1.90160E-03,1.36462E-03,1.26423E-03,1.58244E-03,2.75946E-03,5.49040E-03,4.02543E-03,3.30700E-03,7.02371E-03
s32,16,32,5.27772E-02,5.88987E-02,4.40511E-02,4.73331E-02,7.41628E-02,5.00342E-02,1.55385E-01,3.53459E-01,2.27789E-01,1.22611E-01,1.36198E-01,2.78266E-02,1.03643E-01,4.96432E-02,1.03907E-01,8.63266E-02,1.69937E-01,4.63569E-01,1.44981E-01,8.81808E-02,9.77496E-01,1.04006E+00,1.00916E+00,1.90312E-01
s33,16,33,7.63086E-04,3.17691E-04,3.07414E-04,7.15649E-04,3.88165E-04,3.98014E-04,4.58578E-04,4.95317E-03,1.96164E-03,3.89335E-04,3.21593E-04,1.40849E-04,6.21360E-04,2.71260E-04,2.56934E-04,5.22348E-04,6.28211E-04,6.47082E-04,4.47048E-04,4.95845E-04,2.44287E-03,1.02421E-03,1.62857E-03,1.52203E-03
s34,16,34,3.56853E-03,1.61447E-03,1.98594E-03,3.71526E-03,2.02658E-03,2.07686E-03,3.81995E-03,2.45135E-02,1.46387E-02,2.77377E-03,2.83920E-03,1.27252E-03,4.64540E-03,1.78237E-03,2.49036E-03,3.97158E-03,4.25171E-03,2.99461E-03,2.38128E-03,4.33266E-03,1.68985E-02,2.73834E-03,8.53571E-03,1.13506E-02
s36,16,36,8.52485E-07,4.04650E-07,4.67140E-07,1.60446E-06,4.17401E-07,4.81645E-07,3.09017E-08,5.40641E-07,1.53503E-06,2.02935E-07,9.78999E-08,2.61255E-07,8.02615E-07,8.61786E-08,5.83966E-08,9.07681E-07,3.05803E-07,7.10249E-09,1.29953E-07,9.02613E-07,6.56499E-07,5.90412E-07,1.41985E-07,2.39686E-06
cl35,17,35,9.36321E-04,1.46475E-04,1.54287E-04,9.22207E-04,1.95445E-04,2.32864E-04,3.83765E-04,4.67703E-03,1.17753E-03,3.61057E-04,2.97980E-04,1.34533E-04,3.20213E-04,1.31795E-04,2.09568E-04,4.24376E-04,4.75353E-04,6.44914E-04,2.17896E-04,4.18207E-04,3.35801E-03,6.45942E-04,1.43565E-03,1.11294E-03
cl37,17,37,2.17476E-05,1.77610E-05,2.29896E-05,2.90019E-05,3.25900E-05,1.43382E-05,1.59985E-04,5.71771E-04,1.34962E-04,1.08662E-04,1.49304E-04,2.68885E-04,2.87741E-05,4.32465E-05,1.29864E-04,4.84351E-04,1.05022E-04,2.42769E-04,1.44541E-04,5.54923E-04,6.57013E-04,2.62782E-04,5.60010E-04,4.44737E-04
ar36,18,36,6.27488E-03,8.52308E-03,6.49277E-03,5.34190E-03,1.21738E-02,7.72800E-03,2.76627E-02,5.58783E-02,3.17861E-02,2.44824E-02,2.80388E-02,4.97725E-03,1.68515E-02,8.81880E-03,2.00996E-02,1.35862E-02,3.08393E-02,9.93939E-02,2.87662E-02,1.55986E-02,1.83124E-01,1.99329E-01,1.91692E-01,2.97401E-02
ar38,18,38,6.01306E-04,4.79621E-04,1.02678E-03,6.07471E-04,1.45375E-03,4.95237E-04,5.66154E-03,2.55040E-02,1.05389E-02,4.74115E-03,5.22830E-03,1.73479E-04,1.26731E-03,5.57980E-04,4.31749E-03,3.17697E-03,5.46002E-03,6.53692E-03,6.33574E-04,1.02419E-03,2.99388E-02,4.66875E-03,1.51184E-02,3.57690E-03
ar40,18,40,1.07159E-08,5.62471E-09,3.90309E-08,2.12517E-08,5.58073E-09,1.77860E-08,4.94675E-10,7.38836E-07,1.86572E-07,3.19414E-09,2.63038E-08,9.65203E-09,1.46227E-08,1.66909E-09,3.23320E-09,3.37069E-08,7.91765E-09,9.59529E-10,2.43269E-09,3.60672E-08,5.52848E-08,3.48614E-08,3.26515E-09,1.08599E-07
k39,19,39,9.82820E-05,6.00947E-05,7.94624E-05,6.85831E-05,1.35100E-04,3.70269E-05,6.55701E-04,4.82302E-03,9.76773E-04,5.39205E-04,5.79593E-04,2.16408E-04,1.10832E-04,6.96358E-05,3.70823E-04,3.54951E-04,4.41608E-04,1.41693E-03,1.80902E-04,1.72957E-04,5.51314E-03,1.26195E-03,2.56851E-03,3.93209E-04
k40,19,40,7.44689E-07,5.94967E-08,9.50266E-08,1.05137E-06,5.55353E-08,6.39545E-08,6.65294E-08,1.19479E-05,5.48372E-06,8.23068E-08,6.63623E-08,1.41743E-06,1.69823E-07,5.02726E-08,5.87115E-08,1.21740E-06,1.79774E-07,7.96169E-08,1.14798E-07,4.43898E-06,2.54288E-06,6.26607E-07,5.54211E-07,9.43175E-06
k41,19,41,3.34674E-06,3.08186E-06,4.23275E-06,2.78095E-06,8.25422E-06,1.75717E-06,3.83325E-05,3.65001E-04,4.95640E-05,3.55956E-05,3.64367E-05,3.13689E-06,4.83437E-06,2.90622E-06,2.23947E-05,1.47621E-05,2.74794E-05,7.97068E-05,3.98481E-06,7.63158E-06,2.61288E-04,9.11115E-05,1.56796E-04,1.72376E-05
